,model,data,series,metrics,values
382,model_XGB,train,imbalanced,tn,888.0
383,model_XGB,val,imbalanced,tn,210.0
384,model_XGB,test,imbalanced,tn,118.0
385,model_XGB,train,SMOTE,tn,887.0
386,model_XGB,val,SMOTE,tn,222.0
387,model_XGB,test,SMOTE,tn,118.0
388,model_XGB,train,SMOTE,tn,887.0
389,model_XGB,val,SMOTE,tn,222.0
390,model_XGB,test,SMOTE,tn,121.0
391,model_XGB,train,SMOTE,tn,887.0
392,model_XGB,val,SMOTE,tn,222.0
393,model_XGB,test,SMOTE,tn,121.0
394,model_XGB,train,SMOTE,tn,887.0
395,model_XGB,val,SMOTE,tn,222.0
396,model_XGB,test,SMOTE,tn,121.0
397,model_XGB,train,SMOTE,tn,888.0
398,model_XGB,val,SMOTE,tn,222.0
399,model_XGB,test,SMOTE,tn,120.0
400,model_logistic,train,imbalanced,tn,713.0
401,model_logistic,val,imbalanced,tn,173.0
402,model_logistic,train,imbalanced,tn,713.0
403,model_logistic,val,imbalanced,tn,173.0
404,model_logistic,test,imbalanced,tn,103.0
405,model_logistic,train,imbalanced,tn,685.0
406,model_logistic,val,imbalanced,tn,178.0
407,model_logistic,test,imbalanced,tn,97.0
408,model_logistic,train,imbalanced,tn,692.0
409,model_logistic,val,imbalanced,tn,172.0
410,model_logistic,test,imbalanced,tn,103.0
411,model_logistic,train,imbalanced,tn,696.0
412,model_logistic,val,imbalanced,tn,174.0
413,model_logistic,test,imbalanced,tn,98.0
414,model_logistic,train,imbalanced,tn,683.0
415,model_logistic,val,imbalanced,tn,160.0
416,model_logistic,test,imbalanced,tn,100.0
417,model_logistic,train,SMOTE,tn,670.0
418,model_logistic,val,SMOTE,tn,173.0
419,model_logistic,test,SMOTE,tn,100.0
420,model_logistic,train,SMOTE,tn,672.0
421,model_logistic,val,SMOTE,tn,174.0
422,model_logistic,test,SMOTE,tn,100.0
423,model_logistic,train,SMOTE,tn,673.0
424,model_logistic,val,SMOTE,tn,174.0
425,model_logistic,test,SMOTE,tn,100.0
426,model_logistic,train,SMOTE,tn,675.0
427,model_logistic,val,SMOTE,tn,170.0
428,model_logistic,test,SMOTE,tn,100.0
429,model_logistic,train,SMOTE,tn,683.0
430,model_logistic,val,SMOTE,tn,161.0
431,model_logistic,test,SMOTE,tn,100.0
432,model_LinearSVC,train,imbalanced,tn,703.0
433,model_LinearSVC,val,imbalanced,tn,170.0
434,model_LinearSVC,test,imbalanced,tn,102.0
435,model_LinearSVC,train,imbalanced,tn,681.0
436,model_LinearSVC,val,imbalanced,tn,175.0
437,model_LinearSVC,test,imbalanced,tn,97.0
438,model_LinearSVC,train,imbalanced,tn,683.0
439,model_LinearSVC,val,imbalanced,tn,165.0
440,model_LinearSVC,test,imbalanced,tn,100.0
441,model_LinearSVC,train,imbalanced,tn,699.0
442,model_LinearSVC,val,imbalanced,tn,174.0
443,model_LinearSVC,test,imbalanced,tn,100.0
444,model_LinearSVC,train,imbalanced,tn,673.0
445,model_LinearSVC,val,imbalanced,tn,162.0
446,model_LinearSVC,test,imbalanced,tn,96.0
447,model_LinearSVC,train,SMOTE,tn,706.0
448,model_LinearSVC,val,SMOTE,tn,169.0
449,model_LinearSVC,test,SMOTE,tn,103.0
450,model_LinearSVC,train,SMOTE,tn,696.0
451,model_LinearSVC,val,SMOTE,tn,183.0
452,model_LinearSVC,test,SMOTE,tn,102.0
453,model_LinearSVC,train,SMOTE,tn,701.0
454,model_LinearSVC,val,SMOTE,tn,177.0
455,model_LinearSVC,test,SMOTE,tn,103.0
456,model_LinearSVC,train,SMOTE,tn,714.0
457,model_LinearSVC,val,SMOTE,tn,180.0
